gene,importance
DMBT1,0.03572646
ATOH7,0.026175315
CYB5D1,0.025061477
AVPR1A,0.023335064
CRCT1,0.019841498
CCKAR,0.019578472
C9orf84,0.018816985
ALDH3B2,0.01871526
DNAJC4,0.017883906
ATOH1,0.017788576
FAM161A,0.016895838
ARMC9,0.016475912
C5orf51,0.015844496
FGF23,0.015150483
CBY1,0.0147423595
ATP13A5,0.01469092
BCAR1,0.014595742
EIF2S2,0.014417594
C2orf74,0.012542524
FMO2,0.012184917
CACNG8,0.012097639
C9orf50,0.01125748
C11orf63,0.011219206
DSG4,0.010831053
ACTL9,0.0107818125
C9orf135,0.01072409
FBXL2,0.010603644
C10orf90,0.010256006
ASL,0.010125373
COBL,0.010110068
DAGLA,0.009942628
BDKRB2,0.009853308
B3GNT3,0.009736981
CLECL1,0.009427899
CRMP1,0.0092957085
ACTG2,0.00915375
CYP2C9,0.008974776
BBOX1,0.008800666
ACSM5,0.008790812
APLNR,0.00877641
DDX53,0.008696065
CCDC110,0.008452097
DEF8,0.008452
FAM161B,0.008270354
FAM9C,0.00803546
CCL1,0.007803007
CCDC150,0.0077899504
CORO6,0.0076826103
FOXC1,0.0076736356
C11orf40,0.007593824
CA7,0.0074670305
BAZ1B,0.0073308726
CRTAC1,0.0072242524
ACSS3,0.007060847
FGFBP1,0.006702845
AHSA1,0.0066211238
EML2,0.006524883
FGF11,0.0064957035
ATP1B3,0.006453333
CCDC116,0.0064104223
ATP8B1,0.0064039826
CACNB2,0.006202368
DEC1,0.005921042
BLVRA,0.0059112655
FAM20C,0.00589321
BPHL,0.0058204844
FAAH,0.005796812
FAM185A,0.0056123286
ABCA2,0.0055630053
C1orf105,0.005474676
ATP8A1,0.0054400917
C6orf136,0.0054118163
CXCL12,0.0052797934
ARMC2,0.0049562245
DYX1C1,0.0049301246
FAM154A,0.004916395
FKBP1A,0.0048668226
C8orf58,0.0048045306
DUSP27,0.0047647352
COL6A3,0.0046504433
DPP9,0.004411926
CDC42BPA,0.004360433
CBFA2T2,0.004355275
ANO7,0.004326082
BCCIP,0.0042744135
CCL18,0.004221299
BRSK1,0.004176951
CYB561D1,0.0041318587
CBX7,0.0040879976
ARSI,0.0040211314
CHRDL2,0.004005597
FAM95B1,0.0039147907
CLDN4,0.003822365
CELF1,0.0037519364
CTGF,0.0035724407
C9orf78,0.0035451942
CCDC155,0.003497396
BPESC1,0.0033733686
BMP10,0.0032875424
EXD3,0.003134544
FAM98C,0.0030973295
CRHBP,0.0030837746
F11,0.0029381118
BYSL,0.0029355544
ARID3B,0.0028176736
COQ7,0.0028110654
CYP11A1,0.002805503
CBLN1,0.0028040358
CHRNB3,0.0026867213
CUZD1,0.0026392257
DNAH9,0.0025830814
ABCC1,0.0025680922
CDH10,0.0025123304
CCK,0.002380733
CERCAM,0.002352288
COX6B2,0.0023509199
ELK1,0.0023460542
CHFR,0.0023106083
CENPH,0.0022700895
CH25H,0.002249638
FAM98B,0.002231625
ACTRT2,0.0021837242
AGAP2,0.0021549524
CTDP1,0.0019751464
BSPRY,0.0018201636
AKAP11,0.001797574
FAM189B,0.001793664
EYS,0.0017867056
CACNA1E,0.0017435047
ACMSD,0.001731776
CD160,0.0017295787
C10orf67,0.0015868447
ABCC6,0.0015857917
CCDC117,0.0014715887
ATXN7L3,0.001438722
ENAH,0.0014232907
C1orf216,0.001249389
BCAP29,0.001155264
EXTL2,0.0011250239
AZGP1,0.0011139491
ARSJ,0.0010559482
DDX42,0.0009622926
EPHA10,0.00095620693
CALHM2,0.000939214
EHBP1,0.00089379254
DRD4,0.00076857663
CCT4,0.0006281444
CYP2W1,0.00042537565
CCDC61,0.0003403073
BUB3,0.00024015452
DGCR14,0.00015438371
BDKRB1,0.0001383924
ALPI,0.0
ADAD2,0.0
ACER3,0.0
ACSM2A,0.0
C1QTNF4,0.0
BRIX1,0.0
BARX2,0.0
BHLHE23,0.0
ARID5A,0.0
ARHGEF3,0.0
ANKRD30B,0.0
AP3M1,0.0
ARX,0.0
ARV1,0.0
ARL8A,0.0
ATXN10,0.0
C2CD4C,0.0
C21orf67,0.0
C1orf27,0.0
C1QTNF5,0.0
CLEC11A,0.0
CEPT1,0.0
CHST13,0.0
CLCC1,0.0
CABLES1,0.0
C2orf44,0.0
C8orf34,0.0
C7orf43,0.0
CACYBP,0.0
CCBE1,0.0
CARD14,0.0
CKAP2,0.0
CST2,0.0
CPSF6,0.0
CPNE2,0.0
EIF2AK4,0.0
CXCL3,0.0
EBF4,0.0
DMBX1,0.0
DAAM1,0.0
FABP6,0.0
ERN2,0.0
EXOC2,0.0
ENSA,0.0
EPB41L1,0.0
EXOC4,0.0
FAM57B,0.0
FLG,0.0
